ssc_name_2016,study_region,dwelling,person,closest_pos,closest_pos_grt_1.5ha,local_employment
Seaforth (NSW),Sydney,2474,7125,379.8167072,414.0973955,23.56423406
Sefton,Sydney,1885,5792,419.0397447,426.3814014,18.37378472
Seven Hills (NSW),Sydney,6922,19271,229.2429178,376.6717957,22.60517972
Shalvey,Sydney,1144,3471,333.6178939,474.016702,28.62445024
Shelly Beach (NSW),Sydney,546,1306,530.5141902,600.9889946,57.7035411
Silverdale (NSW),Sydney,1023,3303,1362.388603,1362.388603,40.17460328
Silverwater (Parramatta - NSW),Sydney,926,2367,395.4386809,475.8829674,27.53274315
Smeaton Grange,Sydney,3,13,1226.228571,1547.885714,58.82352941
Smithfield (NSW),Sydney,4057,11947,451.9063305,608.1429429,31.16195179
South Coogee,Sydney,2361,5509,263.1661183,455.0562981,31.25258751
South Granville,Sydney,1839,5483,183.4451534,286.3687478,27.32592907
South Hurstville,Sydney,1840,5136,253.1638278,797.4131843,19.23292861
South Penrith,Sydney,4454,11700,187.9961142,333.0455796,44.28238362
South Turramurra,Sydney,1065,3083,190.0308072,240.9054755,29.07363318
South Wentworthville,Sydney,2159,6184,554.4896479,654.5083557,21.5439517
South Windsor,Sydney,2488,5852,456.4579374,501.752245,35.02982666
Spring Farm (NSW),Sydney,1557,4300,276.0084339,614.7660574,24.6009445
Springfield (Central Coast - NSW),Sydney,1539,4103,318.5436587,319.4513683,66.29570386
Springwood (NSW),Sydney,3475,8427,625.1307258,687.9568458,38.24504007
St Andrews (NSW),Sydney,1920,5718,185.0733901,204.8066957,37.99070394
St Clair (Penrith - NSW),Sydney,6507,19863,206.7840556,292.9238589,18.34516608
St Helens Park,Sydney,2181,6599,184.0460292,275.3823848,42.19868398
St Huberts Island,Sydney,526,1059,361.9908948,1092.398952,67.54298483
St Ives (NSW),Sydney,6409,17264,243.666617,347.6426018,28.26626056
St Ives Chase,Sydney,1062,3148,203.2038726,288.8008989,31.51780006
St Johns Park,Sydney,1809,6101,167.5412888,246.047711,29.39214905
St Leonards (NSW),Sydney,3070,5365,149.3266681,450.8592659,22.25114183
St Marys (NSW),Sydney,5102,12159,313.648475,515.5710612,19.12609852
St Peters (NSW),Sydney,1470,3104,216.7563136,295.8336577,12.31837353
Stanhope Gardens,Sydney,2959,9172,186.6304562,330.846331,13.12504769
Stanmore (NSW),Sydney,3574,7861,218.1696681,788.4943646,12.46700517
Strathfield (NSW),Sydney,9028,25742,296.3527479,845.8717081,20.86655179
Strathfield South,Sydney,1272,3525,346.1031146,718.8497945,21.59778381
Summer Hill (Inner West - NSW),Sydney,3318,7238,171.3183866,667.4977331,15.57292059
Summerland Point,Sydney,1238,2495,251.7316959,251.7316959,47.96373826
Sun Valley (NSW),Sydney,78,228,1671.852425,2466.210241,36.28691983
Surry Hills,Sydney,9278,16341,117.7223634,386.8625647,69.55835967
Sutherland (NSW),Sydney,5044,10823,192.4006677,613.0850649,19.09819015
Sydenham (NSW),Sydney,473,1136,114.8480046,143.7971633,16.17473933
